source_crop,crop_type,lat,lon,year,season,survey_date,is_duplicate,satellite_status,valid_cropfusion_sample,rejection_reasons,primary_reason
Coconut,coconut,12.620337,75.4409846,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6203476,75.4409499,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6193714,75.4171842,2020,Kharif,2020-08-20,False,FULL,True,accepted,accepted
Coconut,coconut,12.6193714,75.4171842,2020,Kharif,2020-08-20,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.5193908,75.4705065,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5193906,75.4705068,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.519306,75.4706621,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5193195,75.4706277,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5193195,75.4706277,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Pepper (Black),pepper,12.6317536,75.4355105,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6317074,75.4355199,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6319236,75.4356893,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6320783,75.435725,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6324098,75.435554,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6324233,75.43561,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6316027,75.4042951,2020,Kharif,2020-08-20,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6400405,75.3926103,2020,Kharif,2020-08-20,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6400406,75.3926165,2020,Kharif,2020-08-20,False,FULL,True,accepted,accepted
Coconut,coconut,12.6189346,75.417981,2020,Kharif,2020-08-20,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.5185307,75.4710763,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Pepper (Black),pepper,12.5185208,75.4710605,2020,Kharif,2020-09-22,False,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite",spatial_NO_MATCH
Coconut,coconut,12.5181021,75.4708415,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.518134,75.4706714,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Pepper (Black),pepper,12.518127,75.4706732,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.6319442,75.4357152,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6319137,75.4356283,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6317766,75.4355449,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6317557,75.4355636,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6173518,75.4369383,2020,Kharif,2020-08-28,False,FULL,True,accepted,accepted
Coconut,coconut,12.6173533,75.4369426,2020,Kharif,2020-08-28,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6173206,75.4369661,2020,Kharif,2020-08-28,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6173877,75.4369819,2020,Kharif,2020-08-28,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6189389,75.4179826,2020,Kharif,2020-08-20,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.640479,75.3919578,2020,Kharif,2020-10-10,False,FULL,True,accepted,accepted
Coconut,coconut,12.6164611,75.442645,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6165563,75.4420841,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6149852,75.4398386,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6151505,75.4392499,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6153311,75.4390677,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.616961,75.4309202,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.5184004,75.4702965,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5180228,75.4731592,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
