pepper_field_id,pepper_lat,pepper_lon,nearest_coconut_field_id,nearest_coconut_lat,nearest_coconut_lon,distance_m,distance_band
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241645,12.6852377,75.2205654,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445389958,12.6852378,75.2205659,0.05536843339819324,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241648,12.6852399,75.2205201,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241650,12.6852469,75.2205252,0.9549549985738705,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241650,12.6852671,75.2205091,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445381770,12.6852673,75.2205015,0.8247537702128737,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241653,12.6852768,75.2204943,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241691,12.6852787,75.2204945,0.21238146883592085,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443684760,12.6992031,75.224263,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443684760,12.6992338,75.2243786,12.99604021017185,10-25
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443684765,12.7003746,75.223241,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443684765,12.7003984,75.223173,7.83662985150773,5-10
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443684767,12.7006671,75.2231733,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443684765,12.7003984,75.223173,29.878094511566808,25-50
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005450,12.6956523,75.2495758,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005454,12.6956494,75.2495761,0.32410322744538067,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005490,12.6955153,75.2495551,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005490,12.6955155,75.2495564,0.14276212131128216,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40249213,12.6207591,75.2304747,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40249208,12.6202572,75.230052,72.23812637015399,50-100
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40251276,12.619321,75.2312617,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40251276,12.6192771,75.231291,5.825515130850211,5-10
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241656,12.6852934,75.2205093,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445389946,12.6852874,75.2205229,1.6191783752747009,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241659,12.6852311,75.2205155,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241663,12.6852428,75.2205118,1.3614902359605308,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241661,12.6852588,75.2204719,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445396164,12.6852589,75.2204667,0.564209629433851,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241663,12.6852518,75.2204564,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445396166,12.6852499,75.2204574,0.2374936740997235,0-5
