source_crop,crop_type,crop_status,hobli,taluk,village,lat,lon,year,season,survey_date,distance_km,spatial_status,temporal_status,tabular_matched,tabular_level,satellite_status,ndvi_available,evi_available,is_duplicate,valid_cropfusion_sample,rejection_reasons
Pepper (Black),pepper,alias,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9276679,75.1842013,2020,Kharif,2020-09-03,0.0658,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BANTVALA KASABA,12.8984252,75.0424317,2020,Kharif,2020-09-02,0.1288,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.9832781,75.1082407,2020,Kharif,2020-10-01,0.1111,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9842678,75.107834,2020,Kharif,2020-10-01,0.1301,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AMTADI,12.8967662,75.023514,2020,Kharif,2020-09-03,0.0163,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AJJIBETTU,12.9631863,75.1154115,2020,Kharif,2020-08-19,0.1044,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,ARALA,12.9534101,75.0209932,2020,Kharif,2020-09-04,0.1552,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9194782,75.1724897,2020,Kharif,2020-09-05,0.3785,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Pepper (Black),pepper,alias,BANTVALA,Bantwal,AMTADI,12.926699,75.0373529,2020,Kharif,2020-10-10,0.1115,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BANTVALA KASABA,12.8974459,75.0400484,2020,Kharif,2020-09-03,0.1289,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,AJJIBETTU,12.97454,75.1017133,2020,Kharif,2020-08-20,0.243,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
Coconut,coconut,exact,BANTVALA,Bantwal,BADAGA KAJEKARU,12.9191573,75.1978707,2020,Kharif,2020-09-23,0.0557,MATCHED,EXACT_SEASON,True,district_grid,FULL,True,True,False,True,[]
